cin,name,price,star,r_count,r_score,addr
20200901,메리어트관 제주신화월드 호텔앤리조트,353760,5,224,9,제주 서귀포시 안덕면 서광리 산 24번지
20200901,유탑유블레스호텔 제주함덕,82351,4,835,9.1,제주특별자치도 제주시 조천읍 함덕리 1269-9 유탑유블레스호텔
20200901,호텔 리젠트마린,76725,4,1530,9.2,제주 제주시 건입동 1443
20200901,롯데호텔 제주,569856,5,3811,9.6,제주 서귀포시 색달동 2812-4
20200901,라마다 제주시티호텔,66975,4,1514,9.1,제주 제주시 이도이동 1025-8
20200901,베스트웨스턴 제주호텔,65221,4,3087,9.2,제주 제주시 노형동 1295-16
20200901,신화관 제주신화월드 호텔앤리조트,239893,5,36,8.8,제주 서귀포시 안덕면 서광리 산24
20200901,메종 글래드 제주,125550,5,2057,8.9,제주 제주시 연동 263-15
20200901,롯데시티호텔 제주,138600,4,1445,9.3,제주 제주시 연동 2324-6
20200901,랜딩관 제주신화월드 호텔앤리조트,183424,5,486,8.9,제주특별자치도 서귀포시 안덕면 서광리 산25-7 랜딩관 제주신화월드 호텔&리조트
20200901,제주 부영호텔,123310,5,1319,9.1,제주 서귀포시 중문동 2700-2
20200901,라마다프라자제주,134850,5,1016,9.4,제주 제주시 삼도2동 1255
20200901,호텔 시리우스,75000,4,325,9.3,제주 제주시 연동 2334-4
20200901,히든 클리프 호텔＆네이쳐 제주,330000,5,1403,9.2,제주특별자치도 서귀포시 상예동 596-2
20200901,서귀포칼호텔,104500,5,2053,9.4,제주 서귀포시 토평동 486-3
20200901,신라스테이 제주,108900,4,2734,9.2,제주 제주시 연동 274-16
20200901,제주 오리엔탈호텔,75250,5,1050,9.2,제주 제주시 삼도이동 1197
20200901,탐라스테이 제주,71449,4,883,8.7,제주 제주시 애월읍 하귀2리 2732
20200901,다인오세아노호텔,281976,4,157,9.1,제주 제주시 애월읍 고내리 84
20200901,호텔 빠레브,65000,4,1565,9,제주 서귀포시 강정동 173
20200901,호텔스위트캐슬 함덕,45000,4,5,8.4,제주특별자치도 제주시 조천읍 함덕리 3230-1 스위트 캐슬
20200901,제주칼호텔,82500,5,1291,9.2,제주 제주시 이도일동 1691-9
20200901,제주선샤인호텔,69000,4,1307,9.2,제주 제주시 조천읍 함덕리 1040
20200901,제주 센트럴시티 호텔,48267,3,42,9.6,제주 제주시 연동 253-3
20200901,코델리아s호텔,44000,4,22,7.9,제주특별자치도 서귀포시 성산읍 오조리 990-1 코델리아 에스 호텔
20200901,호텔케니스토리 프리미엄 제주연동,50600,4,61,8.4,제주 제주시 연동 270-2
20200901,제주 아스타 호텔,81000,4,507,9.4,제주 제주시 삼도일동 535-10
20200901,골드원 호텔＆스위트,206310,4,10,10,제주 서귀포시 서호동 119-2
20200901,파크선샤인 제주,65000,3,866,9.2,제주 서귀포시 서홍동 637-3
20200901,더원호텔 제주,75000,4,323,8.5,제주 제주시 연동 279-3
20200901,호텔샬롬 제주,66000,4,304,9.7,제주 제주시 이도이동 1174-1번지
20200901,베니키아호텔 제주,60000,3,229,8.5,제주 제주시 애월읍 신엄리 2734-1
20200901,제주 스위트호텔,230000,5,1422,9.3,제주 서귀포시 색달동 2812-10
20200901,제주 베이힐 풀앤빌라(BAYHILL POOL AND VILLA),1760000,5,62,0,제주 서귀포시 하예동 1888
20200901,스타즈호텔 제주 로베로,46000,3,287,9,제주 제주시 삼도이동 57-2
20200901,플레이스캠프 제주,49000,4,207,7.9,제주 서귀포시 성산읍 고성리 297-1
20200901,제주하나호텔,85140,3,859,8.7,제주 서귀포시 색달동 2812-2
20200901,제주 오션그랜드 호텔,69000,3,1395,9.6,제주 제주시 조천읍 함덕리 1252-55
20200901,제주 유니호텔,103010,4,333,8.7,제주 제주시 애월읍 구엄리 1216
20200901,호텔 난타 제주,64900,4,244,8.8,제주 제주시 오등동 10-1
20200901,제주 라관광호텔,43750,1,242,8,제주 제주시 오라이동 3100-1
20200901,스카이 리더스 호텔,40000,1,43,7.7,제주 제주시 연동 268-13
20200901,제주 엠버호텔 센트럴점,57800,3,171,10,제주 제주시 노형동 928-1
20200901,제주마리나호텔,60000,3,216,9.2,제주 제주시 연동 300-8
20200901,제주 유어스 호텔,44850,3,78,7,제주 서귀포시 중문동 2129-2
20200901,제주 호텔 더엠,47000,4,0,0,제주특별자치도 서귀포시 서귀동 961-108 지하3층(서귀동)
